,Census dataset,tigris function,relevance,breadth,MSA NAME,Memphis NAME,
x,Nation,nation() ,yes,broad,United States,,
x,Region,regions() ,yes,broad,South,,
x,Division,divisions() ,yes,broad,South Central,East South Central,
x,State,states() ,yes,broad,"TN, MS, AR",TN,
x,Combined Statistical Area,combined_statistical_areas() ,yes,broad,"Memphis-Forrest City, TN-MS-AR CSA",,NAMELSAD
x,Core Based Statistical Area,core_based_statistical_areas() ,yes,broad,"Memphis, TN-MS-AR Metro Area",,NAMELSAD
x,County,counties() ,yes,broad,(8 in CBSA),Shelby,
x,Place,places() ,yes,is,(52 in CBSA),Memphis,
x,County Subdivisions,county_subdivisions() ,yes,narrow,,,
x,Tracts,tracts() ,yes,narrow,,,
x,Block Groups,block_groups() ,yes,narrow,,,
-,Blocks,blocks() ,yes,narrow,,,
x,Urban Area,urban_areas() ,yes,both,,,
x,PUMAs,pumas() ,yes,narrow,,,
x,ZCTAs,zctas() ,yes,narrow,,,
,School Districts,school_districts() ,yes,narrow,,,
,Voting Districts,voting_districts() ,yes,narrow,,,
,Congressional Districts,congressional_districts() ,yes,narrow,,,
,State Legislative Districts,state_legislative_districts() ,yes,narrow,,,
,Area Water,area_water() ,yes,is,,,
,Linear Water,linear_water() ,yes,is,,,
,Coastline,coastline() ,yes,is,,,
,Primary roads,primary_roads() ,yes,is,,,
,Primary and secondary roads,primary_secondary_roads() ,yes,is,,,
,Roads,roads() ,yes,is,,,
,Rails,rails() ,yes,is,,,
,Landmarks,landmarks() ,yes,is,,,
,,military() ,idk,,,,
,,metro_divisions() ,no,,,,
,,new_england() ,no,,,,
,,native_areas() ,no,,,,
,,alaska_native_regional_corporations() ,no,,,,
,,tribal_block_groups() ,no,,,,
,,tribal_census_tracts() ,no,,,,
,,tribal_subdivisions_national() ,no,,,,